name of company,salary
XALTED INFORMATION SYSTEMS,"₹532,986/yr"
SERVPRO TECHNOLOGIES,"₹524,146/yr"
FINACUS SOLUTIONS,"₹194,921/yr"
HEALTH PRIME SERVICES (INDIA) PVT.,"₹374,390/yr"
COMPUNNEL,"₹454,236/yr"
TIME WARNER CABLE,"₹398,701/yr"
IVY MOBILITY,"₹591,561/yr"
TRANSASIA BIOMEDICALS,"₹534,843/yr"
BALAJI INTER INFOSYSTEMS,"₹30,410/mo"
CYLSYS SOFTWARE SOLUTION,"₹9,410/mo"
CYBERMARINE,"₹22,327/mo"
RAMESH & CO.,"₹509,966/yr"
BIZMATICS,"₹332,491/yr"
TOTAL QUALITY LOGISTICS,"₹374,390/yr"
MAA TECHNOLOGIES,"₹487,301/yr"
LOGIC ROOTS,"₹8,234/mo"
FLSMIDTH,"₹31,199/mo"
UNITED ONLINE,"₹503,278/yr"
GENESYS INTERNATIONAL,"₹282,299/yr"
QUODECK,"₹43,857/mo"
SHAWMAN SOFTWARE,"₹11,083/mo"
INTELLVISIONS SOFTWARE,"₹336,951/yr"
ARICENT,"₹32,091/mo"
NORTHERN TRUST,"₹19,996/mo"
SAMSUNG R&D INSTITUTE INDIA,"₹1,374,627/yr"
THYROCARE TECHNOLOGIES,"₹220,863/yr"
C&A,"₹27,411/mo"
WEBIAN TECHNOLOGIES,"₹11,513/mo"
SPANCO,"₹679,203/yr"
AASAANJOBS.COM,"₹635,172/yr"
DUSANE INFOTECH,"₹26,742/mo"
AYAM,"₹1,497,560/yr"
UBONA,"₹390,727/yr"
IT SHASTRA,"₹11,498/mo"
SPEEDLABS,"₹44,332/mo"
MEDIA NUCLEUS,"₹588,122/yr"
NAYAMODE,"₹36,260/mo"
FYND,"₹1,172,569/yr"
PNB METLIFE,"₹164,464/mo"
AARUSHI IT SOLUTIONS,"₹31,979/mo"
AVANADE,"₹515,361/yr"
MICROSOFT,"₹1,176,245/yr"
EDELWEISS FINANCIAL SERVICES,"₹420,548/yr"
PRAGMATIX,"₹305,980/yr"
ATIDAN,"₹935,975/yr"
SPAREAGE SEALS,"₹516,448/yr"
CHEERS INTERACTIVE,"₹215,438/yr"
NETGAINS NETWORK SOLUTIONS,"₹197,357/yr"
SOFTTACT,"₹8,159/mo"
SYNERGY,"₹713,953/yr"
PAGALGUY,"₹754,035/yr"
SOCIAL NEWSIA,"₹20,399/mo"
VARA UNITED,"₹9,627/mo"
FREESTONE INFOTECH,"₹27,596/mo"
GRID ANT TECHNOLOGIES,"₹1,213,438/yr"
JITESH PATIL,"₹16,807/mo"
DELTECS INFOTECH,"₹474,742/yr"
MILES (NORWAY),"₹16,625/mo"
BYZAN SYSTEM,"₹73,798/mo"
LIVQUIK TECHNOLOGY,"₹55,216/mo"
HOTSTAR,"₹1,447,746/yr"
NASKINTECH,"₹16,158/mo"
TECH WIND COMPUTER SERVICES,"₹42,055/mo"
YAHOO,"₹815,946/yr"
MAINTEC TECHNOLOGIES,"₹541,073/yr"
ROSHAN,"₹14,083/mo"
SETERUS,"₹374,390/yr"
GOLDMEDAL ELECTRICALS,"₹49,874/mo"
TVS,"₹20,331/mo"
"BAKER HUGHES, A GE COMPANY","₹1,152,774/yr"
GLOBALSPACE TECHNOLOGIES,"₹548,214/yr"
ENFINI LABS TECH CONSULTANT,"₹250,000/yr"
DUCK CREEK TECHNOLOGIES,"₹570,912/yr"
DR. BATRAS' POSITIVE HEALTH CLINIC,"₹232,576/yr"
RED SPARROW INFOTECH,"₹23,922/mo"
KANAKIA SPACES,"₹55,415/mo"
MERILENT,"₹27,708/mo"
GROUPM,"₹812,169/yr"
INTELENET,"₹529,310/yr"
UBS,"₹376,823/yr"
ASM TECHNOLOGIES,"₹21,624/mo"
SIXSIGMA,"₹425,588/yr"
INNOVA SOLUTIONS,"₹350,857/yr"
DONE SOLUTIONS,"₹110,830/yr"
ZOPHOP TECH,"₹1,339,636/yr"
BISTA SOLUTIONS,"₹717,806/yr"
MEDKNOW PUBLICATIONS,"₹388,161/yr"
GEBBS HEALTHCARE SOLUTIONS,"₹482,428/yr"
RECRUIT HOLDINGS,"₹664,982/yr"
ALL E TECHNOLOGIES,"₹33,225/mo"
SYMANTEC,"₹1,801,956/yr"
EDZEAL,"₹32,091/mo"
ADITYA IMAGING INFORMATION TECHNOLOGIES,"₹131,571/yr"
TATA INTERACTIVE SYSTEM,"₹664,502/yr"
PYKIH SOFTWARE,"₹33,130/mo"
MINDTREE,"₹15,948/mo"
UPGRAD,"₹42,199/mo"
VIRAAT DATATECH,"₹1,933,509/yr"
TEAMWARE SOLUTIONS,"₹30,595/mo"
MYSELF,"₹13,290/mo"
SCAN INFOTECH,"₹588,122/yr"
TRANSERV,"₹51,903/mo"
VIDYUT METALLICS,"₹176,437/yr"
IMPETUS TECHNOLOGIES,"₹497,510/yr"
IL&FS SECURITIES SERVICES,"₹141,149/yr"
NXEDGE,"₹24,959/mo"
MOUNTAIN KHAKIS,"₹1,400,000/yr"
NITYO INFOTECH,"₹86,138/mo"
PC TECHNOLOGY,"₹17,733/mo"
CORE EDUCATION & TECHNOLOGIES,"₹207,325/yr"
MONARCH INNOVATIVE TECHNOLOGIES PVT.,"₹19,935/mo"
JOHNSON CONTROLS,"₹792,989/yr"
OS3 INFOTECH,"₹224,088/yr"
GMR GROUP,"₹48,304/mo"
SYNOVERGE TECHNOLOGIES,"₹44,173/mo"
SUMHR,"₹33,225/mo"
PC TECH LEARNING CENTER,"₹199,495/yr"
STATE FARM,"₹22,166/mo"
VISA INC.,"₹997,473/yr"
THE IMAGE MOTION,"₹227,407/yr"
CMS INFO SYSTEMS,"₹609,572/yr"
BUILT.IO,"₹8,557/mo"
LEXMARK INTERNATIONAL,"₹11,413/mo"
ABN AMRO,"₹1,771,153/yr"
INTELIMENT,"₹265,993/yr"
SENIOR SERVICES FOR SOUTH SOUND,"₹1,111,111/yr"
MICM NET SOLUTIONS,"₹39,215/mo"
BIGTREE ENTERTAINMENT PVT.LTD.,"₹1,096,428/yr"
TURAKHIA GROUP,"₹17,644/mo"
VANGUARD TECHNOLOGIES,"₹400,000/yr"
E DOT SOLUTIONS,"₹438,571/yr"
FIS,"₹1,100,000/yr"
NEOQUANT SOLUTIONS,"₹42,227/mo"
KAISER PERMANENTE,"₹45,651/mo"
XANGARS,"₹671,562/yr"
VIRTUSAPOLARIS,"₹592,456/yr"
IVP,"₹11,370/mo"
TATVASOFT,"₹404,341/yr"
HETAL INFOTECH,"₹52,931/mo"
G5 WEB SERVICES,"₹16,446/mo"
KESTE,"₹849,407/yr"
GRAVITAS TECHNOLOGY,"₹1,137,036/yr"
MAHESH EDIBLE OIL INDUSTRIES,"₹77,581/mo"
PAYPAL,"₹1,483,642/yr"
PROTEGRITY,"₹1,176,245/yr"
BAYER,"₹532,964/yr"
GEODESIC INFORMATION SYSTEMS,"₹635,172/yr"
BOEING,"₹121,913/yr"
SAGE,"₹406,622/yr"
MASTERCOM,"₹28,000/mo"
EXEGESIS INFOTECH,"₹32,893/mo"
CLOUD ENERGY SOFTWARE,"₹20,253/mo"
CREATIVE THERMAL SOLUTIONS,"₹24,173/mo"
CORNERSTONE ONDEMAND,"₹623,983/yr"
GRAY MATRIX SOLUTIONS,"₹49,919/mo"
ARISTON,"₹554,151/yr"
PLANFIRMA TECHNOLOGIES ,"₹305,980/yr"
BEEHIVE SOFTWARE SERVICES,"₹42,528/mo"
SMART BUSINESS & IT SOLUTIONS,"₹31,199/mo"
TEEVRA EDUTECH,"₹554,151/yr"
INTERPRODUCTEC,"₹690,750/yr"
GROMOR FINANCE,"₹426,389/yr"
KAIZEN INFOTECH SOLUTIONS,"₹140,076/yr"
WEBSTREAM COMMUNICATIONS,"₹29,951/mo"
GENERAL INSURANCE OF INDIA (GIC RE),"₹73,095/mo"
NUCSOFT OSSLABS,"₹649,735/yr"
CHENOA INFORMATION SERVICES,"₹44,332/mo"
GRACEWORKS,"₹11,164/mo"
BHARAT PETROLEUM,"₹52,629/mo"
HDFC ERGO GENERAL INSURANCE,"₹159,480/yr"
INFORMATICA,"₹382,233/yr"
"BIRLA COLLEGE OF ARTS, SCIENCE AND COMMERCE KALYAN","₹11,083/mo"
INTERAC,"₹780,249/yr"
HDFC,"₹1,764,367/yr"
RAHUL ROY,"₹407,973/yr"
NETREACH TECHNOLOGIES,"₹595,798/yr"
C-EDGE TECHNOLOGIES,"₹54,821/mo"
LOCON SOLUTIONS,"₹882,184/yr"
CONVONIX,"₹467,405/yr"
DEIF,"₹50,000/mo"
NATIONAL BULK HANDLING,"₹536,442/yr"
HANS INFOTECH,"₹6,822/mo"
SYMPHONY TELECA,"₹685,395/yr"
IKSULA,"₹623,983/yr"
TATA CONSULTANCY SERVICES (NORTH AMERICA),"₹448,770/yr"
ONWARD TECHNOLOGIES INC.,"₹1,659,459/yr"
REGHUNATH,"₹332,491/yr"
CREATIVE INFORMATION TECHNOLOGY,"₹35,698/mo"
CASHCARE,"₹76,750/mo"
MAGTECH INDUSTRIES,"₹28,000/mo"
VIRTELA TECHNOLOGY SERVICES,"₹304,783/yr"
KALVEN TECHNOLOGIES,"₹50,997/mo"
OMNIPAYMENTS,"₹21,929/mo"
UGAM,"₹535,465/yr"
PXL SOFT,"₹17,834/mo"
SHIPLER TECHNOLOGY,"₹572,761/yr"
M.PAANI,"₹328,928/yr"
MULTISOFT CORPORATION,"₹626,008/yr"
ISOFT INDIA TECHNOLOGIES,"₹700,175/yr"
ROHIT GANDHI + RAHUL KHANNA,"₹14,504/mo"
SIEMPELKAMP,"₹773,022/yr"
RICKI'S,"₹30,000/mo"
WEBCHUTNEY STUDIO,"₹33,662/mo"
SENSYS TECH,"₹541,765/yr"
PI TECHNIQUES,"₹316,495/yr"
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"₹208,371/yr"
PINWHEEL TECHNOLOGY,"₹398,989/yr"
HIGHBAR TECHNOLOGIES,"₹249,593/yr"
SAP,"₹799,479/yr"
PERSISTENT SYSTEMS (INDIA),"₹494,023/yr"
SOFTWARE DEVELOPERS OF AMERICA,"₹28,165/mo"
SERVOSYS SOLUTIONS,"₹14,279/mo"
NEXTSERVICES,"₹23,258/mo"
INTRAWEB SOLUTIONS,"₹13,290/mo"
TCS E-SERVE INTERNATIONAL,"₹38,791/mo"
TABREZ,"₹10,199/mo"
TIKONA DIGITAL NETWORKS,"₹12,461/mo"
WINSOFT TECHNOLOGIES,"₹383,750/yr"
IWEB TECHNOLOGY SOLUTIONS,"₹9,303/mo"
MINACS,"₹339,471/yr"
NEWELL BRANDS,"₹538,596/yr"
PODAR EDUCATION COMPLEX,"₹38,984/mo"
AMEYA INFOVISION,"₹11,328/mo"
DIRECT TECHNOLOGY,"₹8,122/mo"
CLEARTRIP,"₹649,735/yr"
CSI COMPUTECH,"₹517,052/yr"
COX & KINGS,"₹738,488/yr"
NOVIRE TECHNOLOGIES,"₹19,996/mo"
INDIAN DENTAL ASSOCIATION,"₹328,928/yr"
SOFTWARE ENGINEERING,"₹44,522/mo"
ARDENTISYS,"₹22,166/mo"
NSEIT,"₹58,812/mo"
PHI ROBOTICS,"₹481,359/yr"
CUSTOMER360,"₹748,780/yr"
PRAMOD GUPTA,"₹1,408,256/yr"
UJJWAL SIHAG,"₹711,589/yr"
ECI TELECOM,"₹617,529/yr"
SANCHIT,"₹27,909/mo"
COSTCO WHOLESALE,"₹58,812/mo"
I-NEXT SOLUTIONS,"₹1,019,933/yr"
KANIX SOLUTIONS,"₹16,446/mo"
YUSUF,"₹303,687/yr"
SAGARSOFT,"₹61,196/mo"
KAYD EFSEFSV E VSRFS VRERGDFVVC,"₹17,183/mo"
CONSINDIA,"₹548,214/yr"
JIGSEE,"₹368,990/yr"
SUTRA SERVICES,"₹66,498/mo"
WEATHERFORD,"₹50,000/mo"
QUICK HEAL TECHNOLOGIES PVT.,"₹25,853/mo"
LOGICSERVE DIGITAL,"₹48,346/mo"
COVERFOX,"₹664,982/yr"
NITAI PARTNERS,"₹10,734/mo"
ECHOFEEL,"₹27,708/mo"
INSPIRISYS SOLUTIONS LIMITED,"₹885,577/yr"
EBAY,£37/hr
GENIE SOFT SYSTEM,"₹26,599/mo"
ORIGINET TECHNOLOGIES,"₹333,446/yr"
VERINON TECH,"₹31,759/mo"
MOFIRST SOLUTIONS,"₹476,379/yr"
CELUSION TECHNOLOGIES,"₹627,445/yr"
KALPATARU COMPUTER SERVICES,"₹548,214/yr"
SPATIAL IDEAS,"₹664,982/yr"
RESILIENT SOFTECH,"₹295,192/yr"
TEST,"₹426,389/yr"
ANGEL BROKING,"₹471,029/yr"
RAPID GLOBAL BUSINESS SOLUTIONS (RGBSI),"₹635,172/yr"
NEOSOFT,"₹508,278/yr"
SYNCHRONOSS,"₹823,371/yr"
CYGNUS IT SOLUTIONS,"₹13,348/mo"
GODREJ INFOTECH,"₹380,313/yr"
NEXTGEN CLEARING,"₹279,091/yr"
FAST TRACK,"₹482,428/yr"
UNIVERSAL HUNT,"₹19,935/mo"
CHECKAPP HEALTHCARE TECHNOLOGY,"₹662,956/yr"
JOHNSON & JOHNSON,"₹374,390/yr"
"LKMJM,K","₹726,627/yr"
OYO,"₹1,223,919/yr"
CAZAAYAN,"₹29,744/mo"
INDIAGAMES,"₹406,084/yr"
SONY ELECTRONICS,"₹35,206/mo"
RINIRA TECHNOLOGIES,"₹700,380/yr"
SPINE TECHNOLOGIES,"₹26,375/mo"
CUSTOM INK,"₹25,414/mo"
HNL SYSTEMS,"₹14,408/mo"
CAPGEMINI,"₹390,727/yr"
LTI,"₹793,764/yr"
BA CONTINUUM INDIA,"₹875,924/yr"
PEGASUS INFOCORP,"₹846,896/yr"
II5 TECHNOLOGIES,"₹91,301/mo"
VOLGA INFOTECH,"₹1,156,067/yr"
HUNGAMA,"₹826,560/yr"
TIBCO SOFTWARE,"₹1,260,431/yr"
AG TECH,"₹23,567/mo"
NETCORE SOLUTIONS,"₹24,537/mo"
ITIVITI,"₹650,000/yr"
IDFY,"₹548,619/yr"
FORBES TECHNOSYS,"₹245,795/yr"
CONCERTO SOFTWARE,"₹258,885/yr"
GLOBALLOGIC,"₹758,547/yr"
AQM TECHNOLOGIES,"₹223,000/yr"
GENERAL MILLS,"₹1,302,074/yr"
ARRK,"₹1,200,006/yr"
GEECON GLOBAL,"₹8,725/mo"
GREYATOM,"₹1,713,487/yr"
NOKIA,"₹790,097/yr"
EXPERIS,"₹14,632/mo"
INFRASOFT,"₹1,531,966/yr"
ARCTERN,"₹767,287/yr"
GRAY ROUTES,"₹40,948/mo"
SUREPREP,"₹831,227/yr"
WEBSTAC SOFTWARE,"₹812,478/yr"
SMARTCONNECT TECHNOLOGIES,"₹543,263/yr"
DESTAR TECHNOLOGIES,"₹615,560/yr"
TIMESOFMONEY,"₹693,886/yr"
MAUJ MOBILE,"₹656,554/yr"
APTUS HEALTH,"₹902,298/yr"
LEAF TECHNOLOGIES,"₹1,926,638/yr"
NIIT TECHNOLOGIES,"₹614,000/yr"
DION GLOBAL SOLUTIONS,"₹1,522,729/yr"
VAMASHIP,"₹18,402/mo"
TECHTREK INDIA,"₹763,930/yr"
BIGINT MEDIA,"₹8,373/mo"
WEBAROO,"₹2,192,856/yr"
SERVION GLOBAL SOLUTIONS,"₹837,272/yr"
TRADEPAQ TRM,"₹531,346/yr"
MORNINGSTAR,"₹237,444/yr"
JOB,"₹672,263/yr"
STALLION,"₹420,664/yr"
DYNAKODE,"₹40,797/mo"
POLYTRON,"₹513,807/yr"
CMA CGM,"₹45,837/mo"
TATA CONSULTING ENGINEERS,"₹379,236/yr"
WECRAFT SOLUTIONS,"₹28,321/mo"
PRESCIENT INFOTECH,"₹16,880/mo"
RBC,"₹728,063/yr"
FINOUX SOLUTIONS,"₹1,079,491/yr"
SQS GROUP,"₹32,893/mo"
INTELLIGENCE NODE,"₹29,084/mo"
EXCEL ENGINEERING SERVICES,"₹1,070/hr"
FUJITSU,"₹42,491/mo"
FERMION INFOTECH,"₹10,271/mo"
EMBEDDED TECHNOLOGY LABS,"₹26,375/mo"
MANNARA TECHNOLOGIES,"₹359,765/yr"
A2Z,"₹1,254,084/yr"
VXL SOFTWARE,"₹20,000/mo"
CNERGYIS INFOTECH INDIA,"₹69,530/mo"
DWELLAR SYSTEMS,"₹22,166/mo"
HASHTAG MEDIA,"₹26,580/mo"
BIR INFOSYS,"₹570,632/yr"
SQUARE PIXEL,"₹50,828/mo"
INSIDER,"₹1,339,636/yr"
LEAR CORPORATION,"₹499,187/yr"
ATCOM MOBITECH,"₹41,894/mo"
TP-LINK,"₹266,493/yr"
AION INFOSYSTEMS,"₹13,157/mo"
IVS CONSULTING,"₹25,498/mo"
INTERTEK,"₹883,453/yr"
SYSTUMBDI,"₹969,473/yr"
GIESECKE & DEVRIENT,"₹352,873/yr"
LINENS 'N THINGS,"₹684,758/yr"
PERISCOPE TECHNOLOGIES,"₹42,491/mo"
IMPACT GURU,"₹1,069,686/yr"
NSYS DESIGN SYSTEMS,"₹11,899/mo"
AUDITIME INFORMATION SYSTEMS,"₹554,210/yr"
VIDEOGRAM,"₹1,582,474/yr"
INSTITUTIONAL SHAREHOLDER SERVICES,"₹40,662/mo"
KAPLAN TEST PREP,"₹1,358,407/yr"
EEXPEDISE GROUP,"₹266,493/yr"
ABSOLUTE INFORMATION SYSTEMS,"₹25,498/mo"
ASTRIKA INFOTECH,"₹22,385/mo"
CA TECHNOLOGIES,"₹1,677,621/yr"
I-LINK INFOSOFT CONSULTANTS,"₹588,122/yr"
TECHNOWIN SOLUTIONS,"₹219,286/yr"
MERCE,"₹970,402/yr"
"ZENTECH, INC.","₹1,203,921/yr"
WAVE INFOTECH,"₹608,207/yr"
NUANCE,"₹3,064,250/yr"
GE AVIATION,"₹30,336/mo"
CHIPOTLE,"₹10,964/mo"
PERSONAGRAPH,"₹883,453/yr"
INTERACTIVE INTELLIGENCE,"₹1,219,133/yr"
FREELANCER,"₹341,111/yr"
NETSCOUT,"₹1,323,275/yr"
E.SOFT TECHNOLOGIES,"₹85,575/mo"
INTELECORP SOFTWARE,"₹49,371/mo"
DELMON SOLUTIONS,"₹31,796/mo"
MASCON GLOBAL,"₹506,044/yr"
TIETO,"₹105,498/yr"
TEMENOS,"₹798,884/yr"
INDIA WEBPORTAL,"₹904,341/yr"
ITC INFOTECH,"₹401,307/yr"
QUOSPHERE INFOSOLUTIONS,"₹746,081/yr"
ERGODE INC,"₹530,072/yr"
QTECH SOFTWARE,"₹15,248/mo"
SOFTEX,"₹29,924/mo"
GFI INFORMATIQUE,"₹664,982/yr"
RELIANCE ENERGY LIMITED,"₹13,157/mo"
AVVAS INFOTECH,"₹841,096/yr"
TENO,"₹662,590/yr"
ZENTECH INFO SOLUTIONS,"₹664,982/yr"
DATAMATICS GROUP,"₹37,546/mo"
MINDGATE SOLUTIONS,"₹37,640/mo"
SAMSUNG ELECTRONICS,"₹566,421/yr"
INCAENDO TECHNOLOGIES,"₹470,498/yr"
HINDTECH,"₹127,917/yr"
TRUCKOLA TECHNOLOGIES,"₹609,933/yr"
GRIDLOGICS,"₹11,083/mo"
LOCALOYE,"₹28,532/mo"
NAGARRO,"₹22,000/mo"
EXLVIS SOLUTION,"₹28,321/mo"
FICTION 2 FACT,"₹10,660/mo"
ESOFT TECHNOLOGIES,"₹1,211,532/yr"
PAKTOLUS,"₹43,857/mo"
BASE TECHNOLOGIES,"₹150,089/yr"
WEB I TECHNOLOGIES,"₹35,338/mo"
PROGRESS,"₹990,322/yr"
LOGITIA SOLUTIONS,"₹30,598/mo"
FREECHARGE,"₹1,049,101/yr"
CITIZEN SCALE INDIA,"₹27,708/mo"
EZ-XBRL SOLUTIONS,"₹1,114,238/yr"
SOFTENGER,"₹22,542/mo"
AXIS BANK,"₹588,122/yr"
MICRO TECHNOLOGIES (INDIA),"₹364,636/yr"
VIRBAC,"₹843,986/yr"
WELLS FARGO,"₹376,823/yr"
KRPO,"₹31,979/mo"
GRAND TETON LODGE CO.,"₹106,228/yr"
QUINNOX SOLUTIONS,"₹29,748/mo"
BLIS,"₹100,000/yr"
ARK TECHNOSOLUTIONS,"₹11,637/mo"
REACHLOCAL,"₹1,662,454/yr"
WISSEN INFOTECH,"₹1,062,283/yr"
PATH INFOTECH,"₹385,087/yr"
MITR LEARNING & MEDIA  ,"₹39,471/mo"
CMC MAGNETICS CORP,"₹361,821/yr"
AUXANO TECHNOLOGIES,"₹609,127/yr"
BALAJI SOFTWARE,"₹16,319/mo"
SPANIDEA,"₹962,718/yr"
MOBIUSO,"₹90,000/mo"
SYNOPSYS,"₹1,674,546/yr"
CREMINDS SOFTWARE & SOLUTIONS,"₹66,259/mo"
INDIGITAL TECHNOLOGIES,"₹15,248/mo"
SYNOVA,"₹649,735/yr"
SPORTZ INTERACTIVE,"₹566,421/yr"
DAFFODIL SOFTWARE,"₹1,764,367/yr"
AFFINITY,"₹436,838/yr"
INSIGHT INSIDE,"₹37,439/mo"
STYLABS,"₹1,228,000/yr"
TRIOLOGIC MEDIA SOLUTIONS,"₹41,169/mo"
MONTRAN,"₹54,821/mo"
AMBIT,"₹559,106/yr"
ACCOLITE,"₹1,141,263/yr"
FOUNTAINHEAD DIGITAL,"₹560,963/yr"
LYRA NETWORK,"₹68,574/mo"
SASKEN,"₹755,871/yr"
OPENTABLE,"₹1,984,409/yr"
SUN MICROSYSTEMS,"₹49,339/mo"
GROWEL SOFTECH,"₹34,477/mo"
HINDUJA GLOBAL SOLUTIONS,"₹159,110/yr"
KRISOL INFOSOFT,"₹197,357/yr"
WESTERN UNION,"₹839,453/yr"
TERA TECHNOLOGIES,"₹946,770/yr"
IDHASOFT,"₹132,900/yr"
HDFC BANK,"₹534,843/yr"
MAGNITUDE SOFTWARE,"₹1,054,983/yr"
CGI (NEVADA),"₹444,170/yr"
PCS TECHNOLOGY LIMITED,"₹38,375/mo"
HOSTWAY,"₹1,006,674/yr"
COLLABERA,"₹1,036,286/yr"
PHILIPS,"₹300,000/yr"
ROBONIK INDIA,"₹53,299/mo"
BOON INSURANCE WEB AGGREGATOR,"₹50,420/mo"
RACHIOTEK,"₹17,119/mo"
LIMRA TECHNOSYS,"₹15,000/mo"
CSCI CONSULTING,"₹334,909/yr"
SKYTECH SOLUTIONS,"₹1,092,095/yr"
RANJAN SAGAR,"₹28,037/mo"
ROLSON INFOTECH SOLUTION,"₹550,764/yr"
FUTURE GROUP,"₹1,918,749/yr"
PM AM,"₹187,195/yr"
ACZET,"₹458,970/yr"
FRESHER THAN FRESH,"₹498,736/yr"
INTERACTIVE BROKERS,"₹765,000/yr"
BOOKONSPOT TRAVEL SOLUTIONS,"₹159,480/yr"
MSP1 MANAGED IT SERVICES,"₹132,996/yr"
EXPONENTIAL SOLUTIONS & CONSULTANCY SERVICES,"₹180,000/yr"
PATHFINDERS,"₹25,482/mo"
NIMAP INFOTECH,"₹23,525/mo"
ASPIRE SYSTEMS,"₹500,000/yr"
BACELOR,"₹717,806/yr"
KOTAK SECURITIES,"₹319,791/yr"
GLOBALGYAN,"₹20,331/mo"
PANKANIS TECHNOLOGIES,"₹1,149,913/yr"
